id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,"Vibrant, synth-heavy pop with a danceable rhythm and an infectious, joyful energy."
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,"Warm, organic lofi with a slow, steady pulse, perfect for deep focus and late-night calm."
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,"High-octane rock featuring a breakneck pace and thunderous, electric intensity."
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,"Soft, organic lofi beats with a slow, steady pulse and a warm, serene atmosphere."
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,"High-octane electronic pop with a driving beat and an intense, danceable energy."
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,"A serene, slow-paced acoustic drift that feels weightless, peaceful, and softly uplifting."
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,"Warm, organic jazz with a cheerful spirit and a soft, leisurely pace."
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,"Moody, pulsing synthwave with a steady electronic beat, perfect for a rhythmic late-night cruise."
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,"Mellow, organic beats with a steady, calming pulse perfect for deep concentration."
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,"A sun-drenched, high-energy indie pop anthem with a danceable groove and a joyful spirit."
11,Sunlit Porch,Amber Wilde,folk pop,happy,0.58,104,0.75,0.71,0.68,"A sunny, mid-tempo folk-pop track blending warm acoustic textures with a joyful, danceable rhythm."
12,Tambourine Heart,Rosa Vale,acoustic soul,happy,0.62,108,0.79,0.74,0.72,"Joyful acoustic soul with a breezy, mid-tempo rhythm and a bright, danceable spirit."
13,Barefoot Waltz,Willow Bend,singer-songwriter,chill,0.50,96,0.68,0.66,0.80,"A sun-drenched acoustic track with a gentle rhythmic sway and a warm, laid-back vibe."
14,Firelight Sway,Cedar Moss,folk,relaxed,0.47,92,0.70,0.69,0.83,"Cozy, bright acoustic folk with a gentle, steady rhythm and a warm, lighthearted glow."
15,Copper Skies,Harlow Fields,acoustic pop,happy,0.60,110,0.77,0.76,0.65,"Breezy, sun-drenched acoustic pop with a bright, upbeat energy and a light, danceable groove."
16,Riverside Groove,Maren Cole,bossa nova,chill,0.55,100,0.72,0.78,0.75,"Sun-drenched acoustic bossa nova with a cheerful, rhythmic sway and a relaxed, breezy feel."
17,Wildflower Stomp,Juno Rae,folk pop,upbeat,0.66,116,0.81,0.80,0.60,"A bright, danceable folk-pop tune with a brisk tempo and warm, organic acoustic energy."
18,Honeyed Strings,Delta Fawn,acoustic funk,happy,0.63,112,0.74,0.83,0.58,"Sun-drenched acoustic funk with a steady, danceable groove and a joyful, upbeat spirit."
19,Porchlight Sessions,Amber Wilde,folk,relaxed,0.44,88,0.66,0.63,0.85,"Warm, sun-drenched acoustic folk with a gentle, swaying rhythm and a cozy, laid-back feel."
20,Golden Hour Sway,Rosa Vale,acoustic soul,chill,0.52,98,0.73,0.72,0.70,"Sun-kissed acoustic soul with a steady, mid-tempo pulse and a bright, breezy, danceable energy."
